true\pred,call,dislike,fist,four,like,mute,ok,one,palm,peace,peace_inverted,rock,stop,stop_inverted,three,three2,two_up,two_up_inverted
call,28,8,0,0,1,0,1,4,0,1,2,1,0,1,0,0,0,3
dislike,19,14,1,0,0,1,4,5,0,0,2,0,0,1,1,0,1,1
fist,18,20,1,0,0,0,1,7,0,0,0,0,0,0,0,0,1,2
four,31,9,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,4
like,35,1,0,0,2,1,0,4,0,1,2,1,0,1,0,1,1,0
mute,33,2,1,0,0,3,1,4,0,0,1,0,0,0,0,0,0,5
ok,34,6,1,0,0,0,2,2,0,0,2,0,0,0,0,0,0,3
one,25,13,2,0,0,0,1,3,0,0,0,3,0,0,0,0,1,2
palm,32,3,0,0,0,0,1,5,2,0,1,4,0,0,0,0,0,2
peace,31,8,0,0,0,1,0,6,0,0,2,1,0,1,0,0,0,0
peace_inverted,35,8,0,0,0,0,1,4,0,0,0,1,0,0,0,0,1,0
rock,37,7,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1
stop,32,9,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2
stop_inverted,27,11,1,0,1,0,2,2,0,0,3,0,0,1,0,0,0,2
three,33,8,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,1
three2,24,8,1,0,2,2,0,6,0,1,0,0,0,0,0,2,1,3
two_up,34,5,1,0,0,1,1,4,0,0,1,0,0,1,0,1,0,1
two_up_inverted,24,10,2,0,0,1,0,8,0,0,1,0,0,0,0,0,1,3
